aX,aY,aZ,gX,gY,gZ
-0.646,-1.229,-0.318,-139.221,-125.122,480.896
-0.613,-0.922,-0.247,-131.653,-131.897,475.830
-0.556,-0.706,-0.146,-116.394,-137.268,469.910
-0.478,-0.597,-0.071,-102.295,-136.108,463.928
-0.473,-0.486,-0.014,-91.858,-131.226,462.708
-0.451,-0.297,-0.009,-83.984,-128.479,462.708
-0.418,-0.158,-0.073,-81.055,-127.441,454.102
-0.383,-0.056,-0.085,-79.407,-129.395,439.819
-0.374,0.069,-0.096,-75.928,-133.667,425.781
-0.349,0.194,-0.119,-63.721,-139.832,411.926
-0.351,0.334,-0.081,-46.814,-146.912,398.804
-0.337,0.501,-0.014,-38.513,-153.870,384.399
-0.300,0.649,-0.016,-34.790,-159.241,367.065
-0.283,0.769,0.028,-33.752,-169.373,345.703
-0.275,0.817,0.099,-35.828,-181.702,320.435
-0.259,0.848,0.144,-36.438,-193.726,296.143
-0.246,0.880,0.238,-35.278,-203.674,272.949
-0.247,0.895,0.360,-34.729,-210.876,250.671
-0.243,0.885,0.475,-33.081,-212.097,229.858
-0.244,0.863,0.590,-30.090,-208.374,210.022
-0.251,0.851,0.703,-27.527,-199.158,191.406
-0.241,0.849,0.791,-25.757,-185.303,174.072
-0.224,0.856,0.880,-23.682,-168.823,157.410
-0.201,0.862,0.960,-23.743,-150.085,141.541
-0.168,0.877,1.023,-23.254,-129.578,127.747
-0.128,0.915,1.089,-21.851,-108.765,117.126
-0.085,0.953,1.114,-21.240,-85.632,105.774
-0.039,0.990,1.109,-18.127,-62.439,93.140
0.013,1.048,1.092,-12.878,-41.809,80.261
0.069,1.089,1.071,-5.188,-23.804,65.125
0.131,1.086,1.028,3.235,-8.728,47.974
0.186,1.054,0.994,10.559,1.038,30.396
0.235,0.994,0.962,15.930,7.568,12.878
0.281,0.907,0.938,18.372,11.414,-3.418
0.317,0.806,0.938,18.616,13.245,-17.700
0.351,0.719,0.939,16.479,14.832,-29.297
0.390,0.636,0.934,13.977,15.991,-37.292
0.425,0.527,0.913,12.573,16.907,-42.236
0.460,0.417,0.918,12.878,18.127,-43.213
0.494,0.348,0.899,13.977,20.264,-39.368
0.512,0.301,0.900,15.381,22.522,-32.532
0.537,0.293,0.888,14.526,25.696,-24.963
0.562,0.288,0.852,13.000,28.687,-18.555
0.586,0.286,0.818,11.292,30.090,-13.428
0.609,0.295,0.782,9.033,30.151,-9.155
0.621,0.314,0.752,5.615,28.931,-6.409
0.635,0.341,0.709,1.831,27.344,-5.432
0.649,0.339,0.666,-0.305,25.879,-5.798
0.655,0.320,0.635,-0.793,23.437,-6.409
0.659,0.291,0.595,-0.366,20.508,-6.287
0.664,0.236,0.562,0.061,16.663,-4.639
0.657,0.197,0.543,-0.061,11.780,-0.916
0.650,0.208,0.544,-0.427,6.409,5.249
0.646,0.260,0.579,-0.549,1.526,11.108
0.639,0.341,0.615,-1.404,-1.770,14.893
0.631,0.411,0.638,-2.991,-2.625,14.648
0.621,0.462,0.664,-4.761,-2.747,10.803
0.609,0.491,0.679,-6.348,-2.136,4.883
0.597,0.488,0.679,-6.042,-0.732,-1.587
0.586,0.454,0.669,-4.028,0.305,-6.531
0.578,0.400,0.655,-2.441,1.160,-10.193
0.568,0.355,0.644,-1.221,0.916,-11.108
0.558,0.331,0.641,0.000,0.000,-9.399
0.552,0.318,0.640,0.610,-1.221,-6.653
0.552,0.307,0.637,-0.244,-2.380,-4.028
0.549,0.313,0.646,-1.404,-3.784,-1.404
0.551,0.342,0.664,-2.197,-5.310,1.953
0.553,0.394,0.703,-2.380,-6.470,4.517
0.558,0.455,0.751,-2.502,-6.042,4.395
0.574,0.487,0.762,-2.441,-3.418,1.526
0.582,0.480,0.761,-1.221,-0.549,-2.319
0.589,0.456,0.752,1.587,2.136,-4.883
0.593,0.424,0.743,4.456,4.700,-6.653
0.599,0.398,0.706,6.165,7.324,-7.324
0.605,0.365,0.677,6.348,8.179,-7.080
0.606,0.347,0.656,6.042,7.690,-5.920
0.604,0.348,0.648,5.676,6.470,-3.723
0.604,0.351,0.655,4.883,4.761,-1.953
0.612,0.348,0.658,2.625,3.418,-0.671
0.617,0.348,0.666,0.122,2.136,0.488
0.619,0.357,0.673,-1.526,1.221,1.709

-0.637,1.559,0.958,-9.033,32.837,-46.692
-0.722,1.750,0.959,-3.601,44.922,-77.026
-0.808,1.926,0.944,3.296,61.035,-116.760
-0.903,2.027,0.893,14.343,82.581,-165.710
-1.017,2.000,0.792,30.334,104.431,-222.656
-1.156,1.879,0.680,50.232,126.892,-282.288
-1.272,1.744,0.542,72.205,151.367,-340.942
-1.393,1.599,0.423,89.966,177.979,-400.208
-1.501,1.505,0.304,109.436,211.914,-458.862
-1.603,1.465,0.113,131.714,245.605,-517.700
-1.733,1.370,-0.060,155.151,266.663,-572.754
-1.949,1.235,-0.215,168.640,277.222,-634.888
-2.328,1.056,-0.367,171.204,272.644,-706.665
-2.973,0.478,-0.514,162.170,262.634,-789.978
-3.325,0.017,-1.081,149.902,250.854,-857.727
-3.791,-0.775,-1.501,146.484,213.013,-914.612
-4.000,-1.678,-1.898,115.906,142.212,-950.012
-4.000,-2.498,-2.433,66.284,101.501,-932.495
-3.709,-3.832,-3.441,66.528,46.448,-892.395
-2.573,-4.000,-3.491,146.301,-54.138,-859.802
-2.093,-4.000,-2.214,205.688,-107.727,-800.171
-1.734,-4.000,-0.430,239.563,-145.935,-661.438
-1.411,-4.000,0.406,286.743,-155.212,-455.811
-1.251,-4.000,0.265,252.136,-84.778,-237.061
-1.063,-4.000,-0.537,180.054,12.634,-51.941
-1.104,-4.000,-0.371,102.844,18.799,93.506
-1.173,-3.446,-0.291,3.418,9.094,197.937
-0.933,-2.845,-0.362,-29.541,3.784,254.456
-0.692,-2.742,-0.562,-32.715,4.883,276.550
-0.590,-2.751,-0.530,-32.532,-12.024,284.973
-0.703,-2.745,-0.317,-40.955,-28.687,304.565
-0.621,-2.456,-0.367,-60.730,-24.963,338.013
-0.560,-2.282,-0.412,-81.970,-24.231,351.990
-0.501,-2.177,-0.383,-103.333,-20.752,358.521
-0.429,-2.039,-0.353,-119.690,-15.991,370.605
-0.406,-1.870,-0.282,-134.277,-21.179,385.010
-0.419,-1.622,-0.182,-142.761,-30.029,402.039
-0.425,-1.297,-0.108,-148.926,-34.729,415.894
-0.353,-0.963,-0.075,-154.541,-32.043,420.532
